PO Date,Smpbase,Butter,Oil
1/15/2007,,1950,
4/15/2007,,2100,
7/15/2007,,2500,
10/15/2007,,3700,
1/15/2008,,3300,
4/15/2008,,3300,
6/3/2008,,3600,
9/11/2008,,3000,
12/8/2008,,1725,
3/11/2009,,1600,
6/15/2009,,1800,
9/15/2009,,2500,
12/15/2009,,3700,
3/16/2010,,3600,
6/15/2010,,4000,
9/14/2010,,3800,
12/17/2010,,4200,
3/18/2011,,4600,
6/13/2011,,4200,
9/13/2011,,3600,
12/13/2011,,3500,
3/13/2012,,3100,
6/13/2012,2949,2550,82.62
9/13/2012,2836,2850,98.31
12/11/2012,3342,3100,85.79
3/12/2013,3609,4100,92.54
6/11/2013,4598,3700,95.38
9/10/2013,4612,3750,107.39
12/10/2013,4610,3725,98.51
3/11/2014,4969,4985,100.03
6/10/2014,3934,3550,104.35
9/9/2014,3170,2825,92.75
12/9/2014,2472,2840,63.82
3/10/2015,2534,3920,48.29
6/9/2015,2221,2600,60.14
9/8/2015,1639,2780,45.94
12/8/2015,2029,2880,37.51
3/8/2016,1840,2755,36.5
6/7/2016,1680,2750,50.36
9/13/2016,2007,3735,44.9
12/12/2016,2342,4240,52.83
3/13/2017,2560,4595,48.4
6/12/2017,2020,5510,46.08
9/11/2017,2081,5940,48.07
12/11/2017,1854,4590,57.99
3/12/2018,1828,5275,61.36
6/11/2018,2003,5590,66.1
9/10/2018,2003,4275,67.54
12/10/2018,2028,4102,51
3/11/2019,2397,4102,56.79
