PO Date,Sales
1-15-2007,
4-15-2007,
7-15-2007,
10-15-2007,
1-15-2008,
4-15-2008,
6-3-2008,
9-11-2008,
12-8-2008,
3-11-2009,
6-15-2009,
9-15-2009,
12-15-2009,
3-16-2010,
6-15-2010,
9-14-2010,
12-17-2010,
3-18-2011,
6-13-2011,
9-13-2011,
12-13-2011,
3-13-2012,
6-13-2012,2949
9-13-2012,2836
12-11-2012,3342
3-12-2013,3609
6-11-2013,4598
9-10-2013,4612
12-10-2013,4610
3-11-2014,4969
6-10-2014,3934
9-9-2014,3170
12-9-2014,2472
3-10-2015,2534
6-9-2015,2221
9-8-2015,1639
12-8-2015,2029
3-8-2016,1840
6-7-2016,1680
9-13-2016,2007
12-12-2016,2342
3-13-2017,2560
6-12-2017,2020
9-11-2017,2081
12-11-2017,1854
3-12-2018,1828
6-11-2018,2003
9-10-2018,2003
12-10-2018,2028
3-11-2019,2397
